farming_experience,soil_ph,rainfall,temperature,market_distance,fertilizer_affordability,loan_access,soil_type,region,income,land_size,irrigation,financial_goal,recommended_crop
12,8.47,1734,15.1,98.5,low,yes,sandy,north,511393,2.78,drip,long-term,millets
1,7.48,873,38.9,63.1,low,yes,sandy,east,390700,15.01,borewell,long-term,jute
23,4.65,1757,25.4,7.3,high,yes,red,central,320550,2.87,rainfed,sustainable,millets
24,8.28,991,18.9,37.1,medium,yes,sandy,north,699982,8.23,rainfed,short-term,pulses
28,6.55,643,12.4,37.8,high,yes,loamy,north,650483,11.67,rainfed,export,sugarcane
14,4.72,707,11.5,46.8,high,yes,clay,north,452195,11.47,canal,export,spices
19,5.45,1061,13.1,21.1,low,no,sandy,east,978347,3.43,rainfed,export,tea
13,6.68,771,29.4,74.2,low,yes,loamy,north,308200,13.49,borewell,long-term,millets
31,5.12,769,32.3,43.8,medium,no,black,east,444272,7.35,rainfed,short-term,tea
11,8.3,1025,40.0,85.0,high,yes,loamy,north,992579,7.62,drip,sustainable,sorghum
32,8.37,971,21.6,46.3,medium,no,sandy,central,820928,16.27,canal,sustainable,millets
4,8.46,851,27.5,27.0,high,no,black,north,649421,5.71,rainfed,long-term,maize
31,5.52,649,11.7,81.3,low,no,clay,north,134296,16.42,drip,long-term,wheat
33,5.14,943,34.4,53.7,high,yes,clay,north,558340,11.41,canal,long-term,maize
7,5.92,1698,38.6,51.9,high,yes,loamy,south,443951,16.14,borewell,short-term,cotton
13,7.36,1478,14.1,14.9,medium,no,red,central,312434,19.39,canal,sustainable,soybean
35,8.48,1116,28.0,29.4,high,no,clay,central,289539,7.55,borewell,sustainable,groundnut
18,6.16,1817,15.6,85.6,high,yes,black,central,340888,15.98,rainfed,export,sorghum
24,6.08,1379,20.2,27.6,high,no,black,central,818385,14.13,canal,short-term,wheat
22,6.92,798,26.1,45.3,low,yes,alluvial,east,282192,4.27,borewell,export,wheat
18,7.92,527,36.3,11.9,medium,yes,black,north,910309,14.7,drip,export,millets
8,8.36,1307,36.2,98.4,low,yes,clay,west,301315,1.03,borewell,sustainable,millets
1,6.27,1422,40.0,81.6,high,no,loamy,west,314260,10.23,rainfed,sustainable,rice
26,6.19,1954,15.5,86.8,high,no,clay,central,240534,10.89,borewell,long-term,jute
1,7.46,1846,36.8,97.4,high,yes,red,central,289382,14.93,canal,short-term,sorghum
22,7.09,1097,28.7,16.5,low,no,alluvial,east,579906,2.02,drip,short-term,cotton
25,5.07,1235,10.9,88.8,low,yes,black,east,737012,5.82,borewell,short-term,pulses
5,7.74,1869,39.3,73.8,medium,yes,clay,central,476151,12.78,borewell,export,jute
12,5.34,1399,30.2,96.4,high,yes,sandy,east,50871,4.2,canal,sustainable,vegetables
14,8.1,431,27.7,86.6,low,no,red,south,71782,2.62,canal,long-term,pulses
25,7.9,1751,37.6,76.7,medium,yes,black,west,454207,1.93,rainfed,short-term,soybean
23,7.25,523,10.6,19.2,low,no,alluvial,east,472972,13.05,borewell,export,soybean
29,4.77,1054,13.2,97.0,low,no,loamy,east,352477,13.22,rainfed,long-term,wheat
22,7.35,400,34.4,70.2,low,no,black,north,646389,3.2,borewell,sustainable,millets
6,5.13,1598,35.3,46.1,medium,yes,loamy,central,540311,10.91,canal,sustainable,cotton
12,6.79,1323,19.0,77.5,low,no,red,central,318690,6.09,canal,sustainable,groundnut
18,7.84,1897,30.2,82.3,high,yes,loamy,south,457618,8.24,borewell,short-term,rice
6,5.71,1396,29.2,89.8,medium,no,clay,east,112171,8.32,canal,sustainable,jute
38,7.27,1836,37.8,45.9,low,yes,alluvial,north,792787,13.38,rainfed,short-term,sorghum
18,5.82,1341,26.3,30.2,high,yes,loamy,south,905021,3.5,canal,long-term,vegetables
38,5.49,1462,19.4,13.6,low,yes,clay,west,753687,2.97,rainfed,sustainable,cotton
30,5.55,825,12.0,15.3,low,yes,clay,north,613222,2.58,canal,sustainable,jute
34,4.54,1878,32.9,51.7,low,no,loamy,north,217880,5.33,drip,long-term,pulses
18,5.93,1312,24.6,87.7,low,no,sandy,south,503238,0.7,rainfed,export,vegetables
24,6.07,1451,14.6,63.2,low,yes,sandy,west,770983,19.31,rainfed,export,pulses
33,7.22,547,24.5,13.4,medium,yes,black,north,613235,15.17,rainfed,short-term,maize
22,6.48,1308,27.1,8.7,high,yes,alluvial,central,837870,4.13,drip,long-term,maize
28,5.69,1797,27.0,84.9,high,no,alluvial,central,301569,18.42,rainfed,export,wheat
18,6.63,1771,31.9,49.7,medium,no,sandy,north,253700,9.27,canal,export,rice
30,8.08,1200,24.8,97.3,high,no,black,west,57890,8.38,borewell,export,coffee
5,4.58,942,25.0,42.0,medium,yes,alluvial,north,839811,9.91,drip,sustainable,millets
25,6.78,539,30.7,81.5,medium,yes,alluvial,central,234530,14.95,borewell,short-term,vegetables
33,6.54,1003,21.0,65.7,medium,yes,loamy,west,988454,3.79,borewell,sustainable,soybean
35,7.28,1338,11.8,52.7,low,yes,black,west,445814,7.07,canal,long-term,soybean
21,6.52,586,24.8,40.0,low,no,clay,east,239447,11.7,drip,export,soybean
0,5.55,812,39.1,98.7,low,no,sandy,west,169256,12.34,canal,long-term,cotton
28,4.74,1750,30.1,95.2,low,yes,alluvial,north,143069,4.89,drip,export,millets
34,5.73,1698,24.3,66.4,medium,yes,black,south,270755,14.86,drip,long-term,rice
21,8.14,1851,39.7,36.5,medium,no,loamy,north,804077,19.07,rainfed,sustainable,groundnut
34,7.23,1607,17.5,52.9,low,yes,sandy,central,685985,6.46,rainfed,export,sugarcane
1,7.26,702,14.9,56.3,medium,no,alluvial,south,703664,9.32,drip,long-term,sugarcane
21,4.92,472,22.2,22.1,low,no,black,east,903314,17.85,canal,export,sugarcane
9,4.9,708,32.4,36.7,low,yes,alluvial,west,288424,1.52,borewell,sustainable,vegetables
21,7.61,1169,34.7,6.2,low,no,red,east,187925,6.2,borewell,sustainable,millets
1,5.17,1260,27.8,41.8,high,yes,black,west,72413,15.14,drip,sustainable,vegetables
32,5.6,683,37.6,11.4,medium,yes,clay,south,671796,10.14,rainfed,long-term,pulses
9,6.04,917,34.6,87.1,high,yes,red,south,814765,18.13,drip,sustainable,sugarcane
8,6.17,513,17.4,27.4,medium,yes,black,west,633224,7.25,rainfed,long-term,sugarcane
0,5.9,1512,22.4,29.5,low,yes,sandy,east,301658,14.39,borewell,short-term,vegetables
0,6.36,1711,12.8,56.9,medium,no,sandy,east,56707,14.16,canal,short-term,sugarcane
30,5.78,1757,19.5,14.3,low,yes,black,central,226265,6.55,canal,short-term,soybean
11,7.94,1688,22.7,67.9,low,yes,sandy,north,314317,5.62,canal,short-term,sugarcane
30,6.34,939,28.2,99.2,high,no,alluvial,east,590105,18.37,drip,export,pulses
24,7.35,1649,29.9,24.1,low,yes,clay,east,458588,17.48,canal,sustainable,jute
16,7.3,1011,26.5,75.6,medium,yes,clay,east,662633,5.38,borewell,short-term,vegetables
25,4.85,589,25.4,59.9,high,no,sandy,central,501907,4.33,canal,export,watermelon
2,6.61,890,30.3,27.5,low,no,black,west,714634,5.26,borewell,long-term,cotton
0,8.02,840,34.9,14.9,high,no,sandy,north,382483,14.39,rainfed,sustainable,soybean
19,4.77,759,36.4,30.0,high,no,sandy,central,335495,4.3,rainfed,export,pulses
14,8.04,1068,17.1,7.8,high,no,black,south,859034,6.84,drip,export,millets
9,7.44,1491,34.5,17.5,high,yes,loamy,central,713122,9.53,borewell,short-term,wheat
2,6.89,1759,17.4,50.0,high,no,clay,east,307558,17.74,canal,sustainable,jute
18,5.61,808,10.6,96.5,high,yes,clay,north,623198,2.83,rainfed,short-term,sugarcane
24,4.92,1748,19.0,66.2,high,yes,black,east,935177,7.46,rainfed,sustainable,pulses
32,6.96,1715,21.8,37.1,high,no,red,north,929072,18.39,rainfed,long-term,groundnut
26,5.72,1887,12.7,26.4,medium,no,red,south,533441,9.26,borewell,long-term,cotton
14,7.27,1316,31.6,47.9,low,yes,alluvial,central,119302,11.53,rainfed,sustainable,vegetables
38,5.73,1735,18.5,19.2,medium,yes,sandy,central,354103,15.83,canal,long-term,rice
12,8.29,533,33.2,60.0,medium,yes,loamy,north,520479,2.01,rainfed,export,cotton
33,6.26,456,39.0,47.0,low,no,red,north,150367,2.81,drip,long-term,maize
16,7.03,1953,19.9,45.8,low,yes,sandy,central,281033,16.49,borewell,long-term,watermelon
28,7.41,983,34.4,2.2,high,yes,red,central,691667,6.83,rainfed,export,coffee
6,4.64,854,19.8,79.8,low,yes,black,west,794725,19.84,canal,sustainable,sorghum
39,4.83,1138,26.7,18.9,low,no,sandy,west,762837,18.26,canal,long-term,groundnut
25,8.12,1675,36.6,22.9,low,yes,sandy,east,388796,5.17,drip,short-term,sorghum
0,4.62,963,14.5,14.2,low,no,clay,north,627418,6.42,drip,export,cotton
12,6.78,1938,23.5,92.9,medium,no,loamy,east,561558,16.57,drip,long-term,wheat
11,8.42,1021,28.2,53.7,low,yes,sandy,west,464348,7.6,drip,export,cotton
39,5.14,576,20.4,49.0,medium,no,clay,north,887109,13.56,rainfed,short-term,wheat
4,6.6,834,17.9,31.3,medium,no,clay,east,657731,15.61,canal,sustainable,cotton
20,8.2,1505,31.4,4.6,low,no,sandy,west,864779,19.86,drip,short-term,vegetables
39,5.31,430,12.7,60.1,high,no,black,south,448095,19.37,borewell,export,sorghum
37,6.8,1244,27.9,61.9,medium,yes,clay,central,118225,18.08,canal,long-term,rice
15,5.75,764,29.8,48.6,medium,no,alluvial,east,233661,5.57,drip,sustainable,cotton
19,4.93,982,17.7,96.0,medium,no,red,south,847042,18.27,canal,long-term,pulses
6,7.09,1724,18.6,72.9,low,yes,clay,south,630994,6.39,rainfed,long-term,pulses
29,7.94,1033,12.5,72.0,high,yes,red,west,875382,5.33,borewell,export,groundnut
23,5.17,1072,37.3,63.1,medium,no,alluvial,central,299323,1.87,canal,sustainable,sorghum
11,7.64,465,36.8,29.6,low,no,loamy,central,870593,6.36,canal,export,tea
15,5.11,1959,22.9,26.4,medium,yes,black,west,441953,16.9,rainfed,long-term,groundnut
6,5.96,465,25.8,9.3,medium,no,sandy,west,686675,6.03,borewell,long-term,wheat
7,7.5,1316,24.5,31.2,low,yes,sandy,central,879293,16.62,rainfed,export,maize
8,6.12,411,25.4,83.5,high,yes,red,central,935907,11.12,drip,sustainable,groundnut
33,7.51,669,38.2,72.7,high,no,alluvial,west,490280,1.85,rainfed,sustainable,vegetables
11,7.77,443,11.1,31.2,high,yes,black,north,689923,11.98,drip,long-term,soybean
8,6.23,1670,33.9,51.8,medium,no,sandy,north,867734,18.16,canal,short-term,cotton
36,7.59,1785,18.3,72.0,low,no,red,north,243939,10.3,borewell,long-term,wheat
18,4.54,788,23.8,93.1,low,no,clay,south,887794,19.98,rainfed,long-term,jute
16,6.34,1778,16.0,51.9,medium,yes,black,north,441124,4.1,borewell,sustainable,sorghum
29,5.83,1942,26.5,36.3,low,no,clay,west,67845,2.06,canal,sustainable,pulses
2,4.91,1659,20.6,45.7,medium,no,black,east,341430,19.0,canal,export,cotton
14,8.35,1882,38.6,98.1,medium,no,black,east,750227,3.71,canal,short-term,sorghum
37,4.87,1158,29.5,69.6,high,yes,sandy,west,585440,10.68,drip,short-term,pulses
21,6.75,1244,38.2,42.7,medium,no,clay,central,607745,8.52,drip,short-term,soybean
36,4.83,448,34.0,12.6,medium,no,clay,central,959245,5.73,borewell,long-term,maize
8,8.41,1506,10.6,92.9,medium,yes,red,north,554922,3.11,drip,export,groundnut
19,8.27,970,32.3,49.0,medium,yes,alluvial,west,271358,13.79,canal,long-term,wheat
30,5.49,1427,11.7,58.0,low,no,alluvial,north,295159,6.91,rainfed,short-term,cotton
2,4.7,1771,10.9,3.3,high,no,red,east,77852,14.1,borewell,export,vegetables
7,7.29,1189,12.5,35.4,low,yes,black,north,868125,8.15,rainfed,sustainable,millets
18,7.83,1443,20.7,35.0,high,no,loamy,central,753915,12.21,drip,sustainable,groundnut
37,6.71,1509,25.6,58.9,low,yes,clay,west,227269,12.13,rainfed,long-term,soybean
18,7.59,1291,25.4,66.1,medium,no,loamy,west,207583,16.99,rainfed,export,groundnut
2,5.29,716,37.4,89.7,medium,no,loamy,south,772566,19.78,rainfed,export,cotton
3,8.05,1373,24.5,95.1,medium,yes,sandy,central,173401,6.54,drip,long-term,wheat
29,7.42,1515,12.3,68.9,low,no,red,central,556110,19.64,rainfed,sustainable,pulses
19,7.59,577,37.6,70.3,medium,yes,alluvial,east,365937,14.93,canal,short-term,cotton
27,8.22,955,15.0,90.0,high,yes,black,south,143884,16.71,drip,sustainable,cotton
35,6.12,1134,24.7,26.0,medium,no,red,west,682956,14.37,canal,short-term,rice
36,5.06,424,15.2,88.5,low,no,red,west,935868,3.95,canal,sustainable,groundnut
25,5.62,1494,19.3,26.4,high,no,clay,north,148175,7.63,drip,long-term,sugarcane
26,6.99,502,28.3,79.4,low,yes,black,central,427490,10.91,canal,long-term,cotton
32,6.1,455,16.0,82.3,high,no,black,west,86795,3.07,drip,short-term,vegetables
25,7.08,1432,32.9,41.4,medium,no,loamy,central,549568,15.91,rainfed,sustainable,cotton
4,5.81,1194,17.0,11.3,low,no,alluvial,north,343658,9.55,rainfed,short-term,soybean
1,7.94,1401,26.4,89.8,high,yes,black,east,750578,18.42,rainfed,short-term,millets
24,7.78,1392,11.3,68.6,medium,yes,alluvial,central,571237,5.93,drip,short-term,rice
11,7.65,620,32.1,14.6,high,yes,loamy,east,856030,14.37,rainfed,short-term,cotton
19,6.38,1610,38.0,58.3,high,yes,sandy,south,809653,6.14,canal,export,spices
19,4.65,1191,12.2,57.8,medium,no,alluvial,north,485796,16.38,canal,sustainable,cotton
10,5.53,912,19.8,74.9,medium,no,sandy,east,332244,13.38,borewell,long-term,sugarcane
4,4.72,428,15.6,58.4,medium,no,red,east,134820,17.02,canal,export,pulses
5,4.58,1092,28.0,81.7,high,no,loamy,north,969037,6.61,drip,export,maize
19,6.61,1408,34.7,50.5,high,no,loamy,west,415821,6.17,borewell,export,sugarcane
30,6.26,1729,24.7,2.5,medium,yes,alluvial,east,87158,3.81,drip,short-term,pulses
10,5.57,1670,33.3,94.5,medium,yes,red,central,637481,5.8,borewell,long-term,sugarcane
31,5.05,1632,22.6,31.9,low,yes,clay,south,249562,6.72,canal,export,sugarcane
38,6.08,1595,35.4,5.5,high,yes,sandy,south,480284,5.22,borewell,export,soybean
3,8.41,505,37.1,20.8,medium,yes,loamy,east,163636,3.13,canal,export,jute
24,6.47,1374,32.3,81.0,low,no,alluvial,west,482830,5.96,rainfed,export,sugarcane
10,6.02,965,19.4,46.6,high,no,loamy,south,674011,5.5,borewell,sustainable,soybean
33,6.83,1512,21.8,34.9,medium,no,loamy,east,421166,3.26,canal,sustainable,groundnut
31,8.01,564,25.2,70.7,high,no,sandy,west,980612,1.82,rainfed,short-term,millets
3,6.73,622,29.7,47.6,high,no,red,east,424509,8.43,rainfed,short-term,sugarcane
22,4.9,569,20.0,49.9,medium,no,alluvial,north,719602,3.31,canal,sustainable,wheat
36,7.18,1853,19.6,18.4,high,yes,sandy,south,491496,18.77,drip,long-term,millets
38,5.27,1886,22.5,5.0,low,yes,alluvial,south,230913,9.88,rainfed,long-term,wheat
32,5.36,1578,30.0,51.2,high,no,black,east,267564,17.26,canal,sustainable,groundnut
28,5.45,1015,25.1,55.8,high,no,black,north,908967,9.21,drip,export,wheat
31,7.44,1431,24.2,41.0,low,yes,clay,south,976821,18.84,canal,export,coffee
8,8.17,1518,16.9,15.4,medium,yes,black,east,767235,12.76,borewell,long-term,tea
17,6.54,1395,24.1,40.6,low,no,red,east,178891,6.18,rainfed,export,jute
38,5.55,1950,22.1,37.8,low,yes,alluvial,south,310307,3.36,rainfed,sustainable,rice
7,6.18,928,21.9,73.1,high,yes,loamy,north,876213,2.41,borewell,long-term,cotton
14,5.48,1704,21.3,61.8,high,yes,clay,west,576934,3.53,canal,long-term,rice
12,5.74,1140,38.8,70.3,high,no,sandy,central,396176,13.86,rainfed,sustainable,maize
18,5.81,523,39.8,18.5,high,no,loamy,east,986772,19.49,canal,export,tea
31,7.82,452,30.8,41.3,high,yes,alluvial,north,262434,3.2,canal,export,maize
16,7.79,490,29.8,43.0,high,no,red,central,658229,7.33,drip,long-term,maize
31,6.22,1949,13.5,24.2,medium,yes,red,north,768576,5.17,borewell,export,maize
11,6.3,880,15.2,7.5,low,no,loamy,south,862341,2.93,borewell,sustainable,vegetables
6,4.62,776,22.6,37.0,low,no,clay,north,965882,8.9,drip,long-term,maize
33,5.23,1454,15.0,79.8,low,no,sandy,east,994614,18.9,rainfed,export,millets
14,5.1,1718,14.4,22.0,high,no,red,central,516271,13.65,canal,sustainable,rice
10,7.13,1244,12.8,79.2,high,yes,red,central,802046,9.07,drip,short-term,vegetables
4,7.93,1605,20.2,5.0,low,no,sandy,west,741510,14.78,drip,export,tea
18,5.28,648,33.8,83.0,high,no,sandy,east,858399,3.45,canal,short-term,tea
10,7.2,1443,23.4,34.1,medium,no,red,west,698854,0.84,canal,short-term,millets
34,5.94,1991,22.6,57.8,medium,yes,black,east,304365,4.67,borewell,short-term,jute
0,4.79,1826,22.6,16.1,high,yes,clay,east,251649,20.0,borewell,short-term,jute
1,8.38,1765,28.2,63.9,high,no,sandy,north,70797,13.64,borewell,sustainable,sugarcane
24,7.6,809,29.5,52.3,high,no,sandy,south,506354,17.09,borewell,long-term,spices
38,5.3,574,36.9,20.8,medium,yes,sandy,north,549931,12.93,drip,export,spices
37,6.49,513,25.3,86.8,medium,no,black,south,962458,6.64,borewell,sustainable,sorghum
21,8.32,545,14.2,61.0,medium,no,alluvial,north,435721,1.43,drip,export,pulses
8,4.77,886,37.2,13.2,low,no,red,central,117770,12.32,drip,short-term,rice
14,7.63,1578,32.9,6.1,medium,no,alluvial,north,743194,5.84,borewell,sustainable,groundnut
38,5.0,1006,40.0,91.2,low,yes,loamy,north,456442,16.03,borewell,sustainable,cotton
1,6.63,523,25.2,63.7,high,no,red,north,287277,9.63,rainfed,sustainable,pulses
18,8.02,885,11.0,66.2,medium,no,alluvial,south,233360,5.84,borewell,export,groundnut
7,5.19,1269,20.7,42.2,high,no,loamy,central,578588,3.39,canal,export,vegetables
13,7.69,1257,32.7,14.3,high,no,alluvial,central,882055,8.35,borewell,export,cotton
26,5.7,952,29.3,55.5,medium,yes,alluvial,west,893573,8.19,borewell,long-term,wheat
2,6.06,1805,10.4,89.0,low,yes,red,central,81846,17.43,rainfed,sustainable,millets
28,5.23,439,16.3,79.2,medium,yes,red,central,659019,11.14,rainfed,long-term,maize
29,7.31,888,31.8,3.9,low,no,sandy,north,792671,17.45,borewell,sustainable,cotton
7,5.09,1918,17.9,53.5,high,no,sandy,east,412894,17.33,drip,sustainable,tea
30,5.09,1225,32.2,61.1,high,yes,red,north,929332,8.77,drip,short-term,groundnut
19,4.99,414,27.4,84.5,low,no,black,south,789880,15.72,borewell,sustainable,cotton
24,7.11,1232,25.2,29.2,high,no,red,central,668486,6.32,canal,short-term,millets
34,7.78,523,19.6,58.4,low,yes,red,west,368966,14.73,drip,sustainable,groundnut
12,7.72,475,17.2,19.6,high,yes,loamy,south,254754,18.9,borewell,long-term,soybean
35,5.69,1342,35.0,78.1,medium,no,clay,east,772905,13.36,drip,short-term,rice
14,5.02,1175,17.8,96.4,medium,yes,clay,south,193979,16.68,rainfed,export,spices
23,6.39,1455,22.2,63.5,low,yes,red,north,545896,9.1,borewell,sustainable,cotton
29,7.81,1370,12.9,50.3,high,no,sandy,central,893463,16.27,canal,long-term,groundnut
25,6.38,1014,35.8,89.8,high,no,black,east,325649,3.04,borewell,sustainable,groundnut
12,4.64,1099,30.0,37.3,low,yes,alluvial,west,328881,2.07,borewell,short-term,vegetables
6,7.92,536,33.6,6.1,high,yes,loamy,east,434732,12.46,borewell,sustainable,jute
3,5.3,1528,26.3,36.3,medium,no,red,north,571835,9.65,canal,export,tea
17,8.11,1201,12.6,22.8,low,no,clay,west,378102,18.44,canal,export,cotton
22,8.05,1771,23.9,98.4,low,yes,clay,east,124133,3.11,canal,short-term,millets
19,6.07,1549,36.1,51.3,high,no,clay,east,157425,19.64,canal,long-term,sorghum
21,4.63,1980,19.2,13.6,medium,no,red,central,533786,1.52,canal,long-term,groundnut
26,7.9,1312,39.7,51.4,high,yes,loamy,north,330250,11.47,rainfed,short-term,vegetables
4,4.58,896,27.8,37.6,high,no,sandy,south,111039,9.18,borewell,short-term,rice
17,8.39,1552,15.0,72.4,medium,yes,sandy,south,794159,12.72,borewell,short-term,watermelon
35,5.23,1785,26.2,91.8,low,yes,loamy,central,387602,14.16,rainfed,sustainable,sugarcane
30,7.96,1831,31.0,54.1,high,yes,loamy,south,829202,10.39,rainfed,short-term,cotton
9,8.09,1603,15.4,65.0,medium,no,black,west,120120,17.28,canal,long-term,rice
18,8.02,1855,33.6,95.9,medium,yes,loamy,central,271180,17.57,drip,long-term,vegetables
9,6.68,1625,28.3,34.5,low,yes,black,central,749579,19.28,rainfed,sustainable,pulses
8,4.81,862,30.4,89.4,low,no,sandy,west,784687,8.78,rainfed,export,spices
36,8.42,921,18.1,38.2,high,no,clay,west,652046,6.69,rainfed,long-term,millets
14,8.11,1469,26.5,76.3,high,no,loamy,central,629855,19.03,drip,short-term,rice
37,4.57,484,35.4,29.6,medium,no,black,south,115267,12.93,rainfed,sustainable,pulses
12,4.95,532,27.7,45.0,medium,no,red,central,536824,9.13,canal,sustainable,cotton
35,6.04,1184,36.1,54.9,high,no,sandy,south,303517,17.11,rainfed,sustainable,rice
1,6.18,1196,19.3,54.3,low,yes,loamy,south,205576,19.47,canal,short-term,soybean
23,8.16,1817,21.1,85.5,low,no,red,central,628753,13.89,borewell,long-term,soybean
13,5.71,669,30.1,9.0,high,yes,black,east,685759,9.73,borewell,long-term,sugarcane
22,7.14,1236,13.0,59.4,medium,yes,alluvial,central,645919,15.56,rainfed,export,coffee
14,5.1,447,34.2,61.2,high,no,alluvial,east,489189,6.65,rainfed,export,coffee
29,5.64,1196,30.5,61.3,low,yes,loamy,west,168666,14.97,borewell,short-term,soybean
31,5.08,793,27.6,97.2,medium,yes,loamy,west,316132,18.79,canal,short-term,wheat
30,6.57,920,22.7,50.4,low,yes,sandy,west,657584,15.73,borewell,export,wheat
28,5.2,1487,13.8,18.8,low,yes,black,east,448296,3.61,canal,export,cotton
13,5.51,1494,26.0,72.0,low,no,alluvial,central,561519,5.79,borewell,sustainable,soybean
16,8.41,494,34.2,69.2,medium,yes,red,south,691879,8.27,canal,sustainable,groundnut
24,5.1,807,26.6,71.3,medium,no,alluvial,north,409168,14.55,drip,export,coffee
4,7.87,984,32.2,21.4,high,no,red,south,500150,12.75,canal,short-term,spices
25,6.39,787,35.0,79.1,high,no,alluvial,north,876399,3.49,borewell,short-term,soybean
26,8.44,673,19.1,67.6,medium,no,loamy,central,59218,8.21,borewell,export,vegetables
30,7.14,1236,17.3,52.1,medium,no,alluvial,north,950426,18.95,drip,export,spices
21,4.53,1741,38.1,91.6,medium,yes,red,south,652492,6.03,borewell,short-term,cotton
23,5.09,1737,22.1,73.6,low,no,alluvial,south,691967,14.59,borewell,export,sugarcane
4,7.75,829,26.9,52.4,medium,yes,loamy,south,873507,19.95,drip,long-term,spices
37,7.63,921,10.7,97.6,low,yes,alluvial,west,998635,6.75,borewell,long-term,cotton
4,7.24,1795,36.2,26.1,medium,no,red,west,88109,5.53,rainfed,export,coffee
3,5.12,588,21.6,36.0,medium,yes,alluvial,east,253164,18.3,drip,short-term,tea
23,8.3,1841,39.0,84.9,high,no,alluvial,south,993661,16.25,canal,export,tea
8,8.45,924,37.8,88.7,low,no,black,west,892534,16.49,rainfed,sustainable,sugarcane
3,6.74,1105,28.3,58.5,medium,no,red,west,666668,17.94,canal,long-term,soybean
20,6.26,1167,25.3,19.7,high,no,sandy,south,599538,7.69,rainfed,export,millets
36,6.38,1037,15.8,12.4,high,no,clay,south,505419,13.47,borewell,export,millets
35,7.69,1202,33.2,30.7,high,yes,loamy,north,843345,17.08,rainfed,export,vegetables
16,5.24,1339,27.6,34.3,medium,yes,clay,south,388050,2.02,drip,short-term,spices
24,4.71,674,36.8,40.6,low,no,loamy,south,88743,5.82,rainfed,export,groundnut
21,4.99,833,24.4,64.2,low,no,black,north,178304,17.66,borewell,long-term,rice
8,4.81,688,34.8,94.6,medium,yes,loamy,central,98995,17.79,drip,export,vegetables
21,6.61,1146,31.3,87.9,medium,no,alluvial,central,134106,3.64,drip,sustainable,cotton
36,6.22,1985,13.9,66.4,high,no,clay,west,421172,5.89,canal,export,groundnut
39,5.77,1586,19.7,81.6,low,no,clay,central,972159,11.66,canal,sustainable,maize
